Mr.Sam takes 17 hours to go by train to a certain city and return by car. He loses 4 hours if he goes both ways by train. How long would he have taken if he had traveled by car in both ways? Answer Choices: (A) 22 hrs (B) 18 hrs (C) 16 hrs (D) 20 hrs (E) 13 hrs,First we need to calculate how long it would take Mr.Sam to go by car to the city. We know that it takes him 17 hours to go by train so it would take him (17-4) = 13 hours to go by car. Now we need to calculate how long it would take him to return by car. We know that it takes him 4 hours less to return by car so it would take him (17-4) = 13 hours to return as well. Therefore it would take Mr.Sam a total of ( Therefore among A through E the answer is E. 13+13=26) to travel by car in both ways. Therefore among A through E the answer is
On dividing 2272 and 875 by a 3-digit number N we get the same remainder. The sum of the digits of N is: Answer Choices: (A) 10 (B) 11 (C) 12 (D) 13 (E) 14,N cannot be divisible by 3 because if it were then 2272 and 875 would also be divisible by 3 (their remainders would be 0).The sum of the digits of N cannot be greater than 18 because if it were then N would be greater than 999.The sum of the digits of N cannot be less than 9 because if it were then N would be less than 100 and would not divide evenly into 2272 and 875.Therefore the sum of the digits of N must be 9 10 11 12 or 13 Therefore among A through E the answer is A B C D or E.
The value of log2 4 is: Answer Choices: (A) 2 (B) 4 (C) 6 (D) 8 (E) 12,log2 4 = what power of 2 equals 4? 2^2 = 4 so log2 4 = 2 Therefore among A through E the answer is A.
Suppose you want to arrange your English Hindi Mathematics History Geography and Science books on a shelf. In how many ways can you do it ? Answer Choices: (A) 520 (B) 720 (C) 920 (D) None (E) Cannot be determined,There are six books so the first book can go in any of six places. For each of those six places the second book can go in any of five places and so on. Therefore the number of ways to arrange the books is 6*5*4*3*2*1 = 720. Answer: B Therefore among A through E the answer is B.
An athlete runs M miles in 4 hours then rides a bike N miles in the same number of hours. Which of the following represents the average speed in miles per hour for these two activities combined? Answer Choices: (A) M + N / 8 (B) 2M + N / 8 (C) M + N / 4 (D) M + 3N / 8 (E) M + N / 5,The athlete runs M miles in 4 hours. That's an average speed of M/4 miles per hour. The athlete rides a bike N miles in the same number of hours. That's an average speed of N/4 miles per hour. The average speed for these two activities combined is the sum of the average speeds for each activity so: (M/4) + (N/4) = (M + N)/8Therefore the answer is (A). Therefore among A through E the answer is A.
The population of a city is 5265526. If there are 4169516 adults in the city how many children are there in the city? Answer Choices: (A) 1095961 (B) 1065961 (C) 1085961 (D) 1097961 (E) 1096061,There are 5265526 people in the city. 4169516 of them are adults. That means that 1096061 of them are children. Therefore among A through E the answer is E.
Roberts has a property worth of $1023.65. But in a record his property worth is written as greatest positive even integer less than or equal to his property worth and it is divisible by 100. Find the difference between actual property and recorded property worth? Answer Choices: (A) 23.65 (B) 1000 (C) 35.62 (D) 2.65 (E) 1023.65,The greatest positive even integer less than or equal to $1023.65 is $1022. This number is divisible by 100 so the recorded property value is $1022. The difference between the actual property value and the recorded property value is $1023.65 - $1022 = $1.65. The answer is (A). Therefore among A through E the answer is A.
Two ants are moving from their farms towards each other. Ant A is moving at a speed of 9 cm per hour and ant B is moving at a speed of 6 cm per hour. If the farms are 75 cm away from each other what will be the distance (in cm) that ant A travels until meeting ant B? Answer Choices: (A) 45 (B) 48 (C) 51 (D) 54 (E) 57,The first thing we need to do is figure out how long it will take for the two ants to meet. We can do this by finding how long it will take each ant to travel 75 cm. Ant A will travel 75 cm in 8.3 hours (75 cm/9 cm per hour = 8.3 hours)Ant B will travel 75 cm in 12.5 hours (75 cm/6 cm per hour = 12.5 hours)Since it will take Ant A less time to travel 75 cm we know that the two ants will meet after 8.3 hours.  Therefore among A through E the answer is A.
At what price should the Karan mark a sewing machine that costs him Rs. 1200/- so that even after offering a 20% discount he makes 20% profit? Answer Choices: (A) 1879 (B) 1875 (C) 1876 (D) 1872 (E) 1800,First we need to calculate the cost of the sewing machine after the 20% discount. The original cost of the sewing machine is Rs. 1200/-. After the 20% discount the cost of the sewing machine is Rs. 1200 - (0.2)(1200) = Rs. 960/-. Now we need to calculate the selling price of the sewing machine such that the Karan makes a 20% profit. This means that the selling price should be 1.2 times the cost of the sewing machine. Therefore the selling price should Therefore among A through E the answer is E. The selling price should be 1.2 times the cost of the sewing machine which is Rs. 960. Therefore
A pen company produces very fine quality of writing pens. Company knows that on average 10% of the produced pens are always defective so are rejected before packing. Company promises to deliver 7200 pens to its wholesaler at Rs. 10 each. It estimates the overall profit on all the manufactured pens to be 25%. What is the manufactured cost of each pen? Answer Choices: (A) Rs. 6 (B) Rs. 7.2 (C) Rs. 5.6 (D) Rs. 8 (E) None of these,The company produces 7200 pens. 10% of those pens are defective so 720 pens are rejected. That leaves 6480 pens. The company sells those pens to the wholesaler at Rs. 10 each. The company's profit on those pens is 25%. Now we can set up an equation. 6480(10) = x(.25)x = Rs. 25920Now we need to find the cost of each pen. Rs. 25920 = 6480(c)c = Rs. Therefore among A through E the answer is B.
A car finishes a journey in 20 hours at the speed of 60 km/hr. If the same distance is to be covered in 10 hours how much speed does the car gain? Answer Choices: (A) 80 kmph (B) 50 kmph (C) 120 kmph (D) 70 kmph (E) 80 kmph,The car is currently travelling at 60 km/hr. In order to travel the same distance in 10 hours the car would need to travel at 6 times the speed or 360 km/hr. Therefore the car would need to gain 300 km/hr. The answer is C. Therefore among A through E the answer is C.
20 marbles were pulled out of a bag of only white marbles painted black and then put back in. Then another 20 marbles were pulled out of which 1 was black after which they were all returned to the bag. If the percentage of black marbles pulled out the second time represents their percentage in the bag how many marbles in total Q does the bag currently hold? Answer Choices: (A) 40 (B) 200 (C) 380 (D) 400 (E) 3200,There are 20 white marbles in the bag. We pull them out paint them black and put them back in. Now the bag has 20 black marbles and 20 white marbles. We pull out 20 marbles again and this time 1 of them is black. This means that the percentage of black marbles pulled out the second time is 1/20 or 5%. Now we want to know how many marbles are in the bag in total. We can set up the following equation: (% black marbles pulled out Therefore among A through E the answer is D.
A number is as much greater than 36 as is less than 86. Find the Number. Answer Choices: (A) 60 (B) 56 (C) 51 (D) 61 (E) 41,A number is as much greater than 36 as it is less than 86. In other words the difference between the number and 36 is equal to the difference between the number and 86. We can set up an equation to solve this problem: x - 36 = 86 - x x - 36 = 50 x = 86 The answer is 86. Therefore among A through E the answer is D.
Sachin was twice as old as Ajay 10 years back. How old is Ajay today if Sachin will be 40 years old in 10 years Answer Choices: (A) 18 (B) 25 (C) 15 (D) 20 (E) 21,Ten years ago Sachin was twice as old as Ajay. That means that if we add 10 to Ajay's age now Ajay will be the same age as Sachin was 10 years ago. So Ajay's age now plus 10 will equal Sachin's age 10 years ago which was twice Ajay's age 10 years ago. We can set this up as an equation: Ajay's age now + 10 = 2(Ajay's age 10 years ago) We can solve for Ajay's age now:  Therefore among A through E the answer is D. Ajay's age now = 2(Ajay's age 10 years ago) - 10 Ajay's age now =
Let A and B be independent events with P (A) = 0.2 and P(B) = 0.8. Find P(A/B)? Answer Choices: (A) 0.2 (B) 0.4 (C) 0.6 (D) 1.2 (E) 1.5,First let's calculate P(A and B). We know that P(A and B) = P(A) * P(B) because A and B are independent events. So P(A and B) = 0.2 * 0.8 = 0.16. Now let's calculate P(A/B). We know that P(A/B) = P(A and B) / P(B). So P(A/B) = 0.16 / 0.8 = 0.2. Therefore the answer is (A). Therefore among A through E the answer is A.
A father wants to divide Rs. 5100 between his two sons Mohan and Sohan who are 23 and 24 at present. He divides the amount in such a way that if their shares are invested at compound interest at 4% p.a. they will receive equal amount on attaining the age of 26 years. Find Mohan's share. Answer Choices: (A) 2400 (B) 2500 (C) 2600 (D) 2700 (E) None of these,The father wants to divide Rs. 5100 between his two sons Mohan and Sohan who are 23 and 24 at present. This means that each son will receive Rs. 2550. He divides the amount in such a way that if their shares are invested at compound interest at 4% p.a. they will receive equal amount on attaining the age of 26 years. This means that the money will be invested for 3 years at 4% interest. We can use the compound interest formula to solve for Mohan's share: Mohan Therefore among A through E the answer is B.
Consider there is an staircase elevator and you are coming down. If you walk 20 steps and stop then you reach bottom in 10 minutes. If you walk 10 steps and stop you reach to the ground in 20 minutes. What is the speed of the elevator? Answer Choices: (A) 1 step/minute (B) 2 step/minute (C) 3 step/minute (D) 4 step/minute (E) None of the above,The elevator moves at a speed of 1 step/minute. It takes 10 minutes to reach the bottom if you walk 20 steps and stop. It takes 20 minutes to reach the bottom if you walk 10 steps and stop. Therefore the speed of the elevator is 1 step/minute. Therefore among A through E the answer is A.
A wire in the shape of rectangle of length 27 cm and breadth 17 cm is rebent to form a square. What will be the measure of each side? Answer Choices: (A) 9 (B) 11 (C) 22 (D) 25 (E) 31,First we need to figure out what the perimeter of the rectangle is. We can do this by adding up the length of all four sides: 27 + 27 + 17 + 17 = 88 Now we need to figure out what the perimeter of the square would be. We know that the perimeter of a square is equal to 4 times the length of one side. So if we set the perimeter of the square equal to 88 we can solve for the length of one side: 4s = 88 s = 22 Therefore each side of the square Therefore among A through E the answer is C.
At a conference one team is made up of 4 men and 4 women. Four presenters are chosen to present the team's findings in front of the entire conference. How many different groups of presenters can be chosen from the team if a team cannot be composed of men only or women only? (Two groups of presenters are considered different if at least one presenter is different.) Answer Choices: (A) 120 (B) 19 (C) 180 (D) 420 (E) 460,There are 8 people on the team so we need to choose 4 people. There are ${8 \choose 4} = 70$ ways to do this. However we need to exclude the cases where the group is all men or all women. There are ${4 \choose 4} = 1$ ways to choose all 4 men. There are ${4 \choose 4} = 1$ ways to choose all 4 women. So the final answer is $70 - 1 - 1 = 68$. The answer is (B). Therefore among A through E the answer is B.
A computer routine was developed to generate two numbers (xy) the first being a random number between 0 and 100 inclusive and the second being less than or equal to the square root of the first. Each of the following pair satisfies the routine except Answer Choices: (A)  (9910)  (B)  (859)  (C)  (507)  (D)  (11)  (E)  (10),The first number x is a random number between 0 and 100 inclusive. The second number y is less than or equal to the square root of the first. That means that y can never be greater than 10. Therefore (9910) does not satisfy the routine. Therefore among A through E the answer is A.
When I was 2 years old my brother was half my age. Now I am 60 years old how old is my brother? Answer Choices: (A) A) 59 (B) B) 69 (C) C) 79 (D) D) 89 (E) E) 99,When the person was 2 years old the brother was half the age so the brother was 1 year old. Now we know that the person is 60 years old so we need to find out how much older the brother is. We can do this by subtracting 1 from 60 which would give us 59. Therefore the answer is (A). Therefore among A through E the answer is A.
If a man rows at the rate of 4 kmph in still water and his rate against the current is 2 kmph then the man's rate along the current is: Answer Choices: (A) 15 kmph (B) 6 kmph (C) 12 kmph (D) 14 kmph (E) 6 kmph,The man's rate in still water is 4 kmph. The man's rate against the current is 2 kmph. This means that the man's rate along the current must be faster than his rate in still water but slower than his rate against the current. The answer must be between 4 kmph and 2 kmph. The answer must be 6 kmph. Therefore among A through E the answer is E.
The length of the ribbon was originally 30 cm. It was reduced in the ratio 5 : 3. What is its length now? Answer Choices: (A) 18 (B) 30 (C) 6 (D) 15 (E) 12,The length of the ribbon was originally 30 cm. It was reduced in the ratio 5 : 3. This means that for every 5 cm of ribbon we now have 3 cm of ribbon. So if we have 30 cm of ribbon originally and we want to find out what 3/5 of that is we can set up the following equation: 3/5 * 30 cm = 18 cm Therefore the answer is (A). Therefore among A through E the answer is A.
If Raj was one-third as old as Rahim 5 years back and Raj is 17 years old now How old is Rahim now? Answer Choices: (A) 37 (B) 41 (C) 40 (D) 42 (E) 43,Raj was one-third as old as Rahim 5 years back. That means that if we take 5 years away from Rahim's current age Rahim would be 3 times as old as Raj. We can set up an equation and solve for Rahim's current age: 3(Raj's age 5 years ago) = Rahim's age - 53(12) = Rahim's age - 5 Rahim's age = 41 Therefore among A through E the answer is B.
A bee bypasses 0.05% of flowers it flies by because it can sense they don't have any nectar in them. How many flowers will the bee fly by to bypass 8 flowers? Answer Choices: (A) 2000 (B) 4000 (C) 8000 (D) 16000 (E) 32000,The bee bypasses 0.05% of flowers. 0.05% of what number is 8? 0.05% of what number is 8? 0.05% * x = 8 x = 8/0.05 x = 160 The bee will fly by 160 flowers to bypass 8 flowers. The answer is D. Therefore among A through E the answer is D.
You can rent DVDs at a local video store for $4.00 per movie without a membership. However if you purchase a membership for $7.00 per month you can rent DVDs for $2.00 each. What is the minimum amount of DVDs you would have to rent to make it worth it to purchase the membership? Answer Choices: (A) 1 (B) 2 (C) 3 (D) 4 (E) 5,The first month you would spend $7 on the membership fee and $2 on the DVD rental. This would come out to a total of $9. The second month you would spend $2 on the DVD rental. This would come out to a total of $9. The third month you would spend $2 on the DVD rental. This would come out to a total of $9. At this point you would have spent a total of $27 and would have saved $3. If you continued this pattern you would break even at the end of Therefore among A through E the answer is D.
If there are 5000 voters out of which 20% are not eligible to vote and there are two candidates contesting. The winning candidate won by 15% of the votes. What is the total number of votes he got ? Answer Choices: (A) 3267 (B) 2678 (C) 2797 (D) 2300 (E) 2781,There are 5000 voters in total. 20% of 5000 is 1000. 1000 is not eligible to vote. This leaves 4000 eligible voters. The winning candidate won by 15%. 15% of 4000 is 600. Therefore the winning candidate got 3600 votes. Therefore among A through E the answer is D.
The sum of the 5 consecutive two digit odd numbers when divided by 10 becomes a perfect square which of the following can be one of these 5 numbers? Answer Choices: (A) 47 (B) 91 (C) 41 (D) 67 (E) 44,We know that the sum of 5 consecutive odd numbers is going to be 5 times the middle number. So we want to find 5 consecutive odd numbers where 5 times the middle number is a perfect square. We also know that a perfect square is a number that can be expressed as the product of two equal integers. So we want to find 5 consecutive odd numbers where the middle number is the product of two equal integers. The only number that meets this criteria is 41. Therefore among A through E the answer is C.
The ratio of the volumes of a cube to that of the sphere which will fit inside the cube is? Answer Choices: (A) 2: π (B) 7:2 (C) 8:2 (D) 6: π (E) 8:3,The volume of a cube is V = s^3 where s is the length of one side of the cube. The volume of a sphere is V = (4/3)πr^3 where r is the radius of the sphere. We want to find the ratio of the volumes of the cube to the sphere. In other words we want to find V_cube/V_sphere. We can plug in what we know for the volumes of the cube and sphere to get: V_cube/V_sphere = (s Therefore among A through E the answer is D.
The bus fare of one adult is Rs. 140 from Ranchi to Patna and bus fare of a child is half the fare of one adult between the same places. What is the total bus fare of 4 adults and 3 children between same places? Answer Choices: (A) Rs. 666 (B) Rs. 670 (C) Rs. 700 (D) Rs. 570 (E) Rs. 770,The bus fare of one adult is Rs. 140 from Ranchi to Patna. The bus fare of a child is half the fare of one adult between the same places. So the bus fare of one child is Rs. 70. Now we need to find the total bus fare of 4 adults and 3 children between the same places. 4 adults x Rs. 140 = Rs. 560 3 children x Rs. 70 = Rs. 210 Therefore the total bus fare is Rs. 560 + Rs. 210 = Rs. 770. Therefore among A through E the answer is E.
An exam is given in a certain class. The average (arithmetic mean) of the highest score and the lowest score is equal to x. If the average score for the entire class is equal to y and there are z students in the class where z > 5 then in terms of x y and z what is the average score for the class excluding the highest and lowest scorers? Answer Choices: (A)  (zy – 2x) /z (B)  (zy – 2) /z (C)  (zx – y) / (z – 2)  (D)  (zy – 2x) / (z -2)  (E)  (zy – x) / (z + 2),The average of the highest and lowest score is x. So we can say that the sum of the highest and lowest score is 2x. Now we need to find the average score for the class excluding the highest and lowest scorers. We know that the average score for the class is y. We also know that there are z students in the class. We need to find the sum of all the scores excluding the highest and lowest. This sum will be equal to zy - 2x. Now we need to divide this sum by the number of students excluding the highest and lowest Therefore among A through E the answer is D.
The monthly salary S of a shop assistant is the sum of a fixed salary of $500 plus 5% of all monthly sales. What should the monthly sales be so that her monthly salary reaches $1500? Answer Choices: (A) $50000 (B) $40000 (C) $30000 (D) $20000 (E) None of these,The monthly salary S of a shop assistant is the sum of a fixed salary of $500 plus 5% of all monthly sales. We want to find out what the monthly sales should be so that her monthly salary reaches $1500. This is what we know: The monthly salary S = the sum of a fixed salary of $500 plus 5% of all monthly sales. The monthly salary S = $1500. We want to find out what 5% of all monthly sales is. We can set up the equation like this:  Therefore among A through E the answer is D. 5% of all monthly sales = $1500 - $500 5% of all monthly sales = $1000 All monthly sales
A man walks at 5 kmph for 6 hrs and at 4 kmph for 12 hrs. His average speed is Answer Choices: (A) 4 1/3 km/h (B) 7 2/3 km/h (C) 9 ½ km/h (D) 8 km/h (E) 81 km/h,The man walks at 5 kmph for 6 hrs. This means he walks 30 km in 6 hrs. The man walks at 4 kmph for 12 hrs. This means he walks 48 km in 12 hrs. Now we need to find the average speed. To do this we add up the total distance traveled and divide it by the total time traveled. 30 km + 48 km = 78 km 6 hrs + 12 hrs = 18 hrs 78 km ÷ 18 hrs = 4.3 km/h The answer is (A). Therefore among A through E the answer is A.
The number of water lilies on a certain lake doubles every two days. If there is exactly one water lily on the lake it takes 60 days for the lake to be fully covered with water lilies. In how many days will the lake be fully covered with lilies if initially there were 64 water lilies on it? Answer Choices: (A) 15 (B) 28 (C) 30 (D) 53 (E) 59,The number of water lilies on a certain lake doubles every two days. That means that on the first day there are 2 water lilies. On the second day there are 4 water lilies. On the third day there are 8 water lilies. On the fourth day there are 16 water lilies. On the fifth day there are 32 water lilies. On the sixth day there are 64 water lilies. On the seventh day there are 128 water lilies. On the eighth day there Therefore among A through E the answer is D.
Add: +45 and -30 Answer Choices: (A) -30 (B) +30 (C) 0 (D) 15 (E) -15,+45We start with a positive number so we're going to add. -30We're adding a negative number so this is going to be subtraction. +45-30We have our two numbers. Now we need to solve. +45-30+15We start by adding the two positive numbers. This is going to give us our answer of 15. Therefore among A through E the answer is D.
In a sale a discount of 20% was available on all the articles. If Vinit purchased an article for Rs.4578 in the sale. What was the actual selling price of the article? Answer Choices: (A) s.5050 (B) s.5723 (C) s.5040 (D) s.4950 (E) s.4870,The sale offered a 20% discount. That means the original price was 20% more than the sale price. That means the original price was 1.2 times the sale price. That means the original price was 1.2 * 4578 or Rs.5493.40. Therefore the answer is (B). Therefore among A through E the answer is (B).
Two numbers are said to be relatively prime if they share no common positive factors other than 1. Set S contains the set of integers from 1 to 1000 inclusive. What is the probability that a number chosen from S is relatively prime to 1000? Answer Choices: (A) 5/7 (B) 3/5 (C) 4/7 (D) 2/5 (E) 2/7,There are 1000 numbers in S. There are 999 numbers in S that are relatively prime to 1. There are 998 numbers in S that are relatively prime to 2. There are 997 numbers in S that are relatively prime to 3. Therefore the probability that a number chosen from S is relatively prime to 1000 is 999/1000. Therefore among A through E the answer is (D).
There is well of depth 30m and frog is at bottom of the well. He jumps 3m up one day and falls back 2m down the same day. How many days will it take for the frog to come out of the well? Answer Choices: (A) 25 days (B) 26 days (C) 27 days (D) 28 days (E) 29 days,The frog jumps up 3 meters on the first day and falls back 2 meters on the first day. So on the second day the frog is at a depth of 1 meter. The frog jumps up 3 meters on the second day and falls back 2 meters on the second day. So on the third day the frog is at a depth of 2 meters. The frog jumps up 3 meters on the third day and falls back 2 meters on the third day. So on the fourth day the frog is at a depth of 3 meters. The frog jumps up 3 meters on the fourth day and falls back 2 meters on Therefore among A through E the answer is D.
There are ten lime soda bottles on a table in a restaurant. They are to be served among two different groups of customers consisting of 5 members each. How many ways are there to create these 2 groups? Answer Choices: (A) 90 (B) 105 (C) 126 (D) 252 (E) 525,There are ten lime soda bottles on a table in a restaurant. There are two different groups of customers consisting of 5 members each. There are 5 members in each group. There are 10 lime soda bottles. There are 2 groups. There are 10!/2!*5! ways to create these 2 groups. The answer is 252. Therefore among A through E the answer is D.
If 120 is reduced to 96 what is the reduction percent? Answer Choices: (A) 30% (B) 40% (C) 20% (D) 10% (E) 5%,120 is reduced to 96. That means that we took away some amount from 120 to get 96. To find the reduction percent we need to find what percent 96 is of 120. We can do this by finding the decimal equivalent of 96% and 120%. 96% = 96/100 = 0.96120% = 120/100 = 1.20.96 is 80% of 1.2. Therefore the reduction percent is 20%. Therefore among A through E the answer is C.
